id:400 172 get(50) - 131 - 131
size=105
0 - Note{key=50, value=131, times=2, pre=null, next=27}
1 - Note{key=27, value=166, times=0, pre=50, next=2}
2 - Note{key=2, value=130, times=3, pre=27, next=48}
3 - Note{key=48, value=307, times=8, pre=2, next=121}
4 - Note{key=121, value=211, times=2, pre=48, next=95}
5 - Note{key=95, value=101, times=2, pre=121, next=46}
6 - Note{key=46, value=44, times=4, pre=95, next=30}
7 - Note{key=30, value=110, times=3, pre=46, next=73}
8 - Note{key=73, value=198, times=2, pre=30, next=80}
9 - Note{key=80, value=23, times=8, pre=73, next=85}
10 - Note{key=85, value=184, times=6, pre=80, next=128}
11 - Note{key=128, value=307, times=3, pre=85, next=97}
12 - Note{key=97, value=84, times=2, pre=128, next=61}
13 - Note{key=61, value=233, times=4, pre=97, next=20}
14 - Note{key=20, value=105, times=1, pre=61, next=22}
15 - Note{key=22, value=52, times=0, pre=20, next=13}
16 - Note{key=13, value=150, times=0, pre=22, next=119}
17 - Note{key=119, value=212, times=2, pre=13, next=123}
18 - Note{key=123, value=196, times=2, pre=119, next=133}
19 - Note{key=133, value=101, times=2, pre=123, next=69}
20 - Note{key=69, value=126, times=2, pre=133, next=76}
21 - Note{key=76, value=258, times=1, pre=69, next=40}
22 - Note{key=40, value=65, times=4, pre=76, next=81}
23 - Note{key=81, value=67, times=5, pre=40, next=35}
24 - Note{key=35, value=65, times=0, pre=81, next=67}
25 - Note{key=67, value=163, times=0, pre=35, next=92}
26 - Note{key=92, value=13, times=1, pre=67, next=26}
27 - Note{key=26, value=277, times=1, pre=92, next=89}
28 - Note{key=89, value=299, times=5, pre=26, next=47}
29 - Note{key=47, value=279, times=2, pre=89, next=87}
30 - Note{key=87, value=126, times=1, pre=47, next=34}
31 - Note{key=34, value=43, times=2, pre=87, next=99}
32 - Note{key=99, value=231, times=2, pre=34, next=31}
33 - Note{key=31, value=240, times=2, pre=99, next=65}
34 - Note{key=65, value=85, times=1, pre=31, next=37}
35 - Note{key=37, value=160, times=2, pre=65, next=18}
36 - Note{key=18, value=261, times=1, pre=37, next=39}
37 - Note{key=39, value=248, times=4, pre=18, next=101}
38 - Note{key=101, value=223, times=2, pre=39, next=33}
39 - Note{key=33, value=314, times=2, pre=101, next=15}
40 - Note{key=15, value=255, times=1, pre=33, next=68}
41 - Note{key=68, value=274, times=0, pre=15, next=75}
42 - Note{key=75, value=265, times=4, pre=68, next=136}
43 - Note{key=136, value=183, times=2, pre=75, next=57}
44 - Note{key=57, value=82, times=1, pre=136, next=23}
45 - Note{key=23, value=258, times=2, pre=57, next=53}
46 - Note{key=53, value=275, times=5, pre=23, next=9}
47 - Note{key=9, value=128, times=1, pre=53, next=52}
48 - Note{key=52, value=11, times=4, pre=9, next=90}
49 - Note{key=90, value=102, times=1, pre=52, next=25}
50 - Note{key=25, value=167, times=0, pre=90, next=1}
51 - Note{key=1, value=254, times=0, pre=25, next=16}
52 - Note{key=16, value=176, times=4, pre=1, next=42}
53 - Note{key=42, value=81, times=1, pre=16, next=58}
54 - Note{key=58, value=101, times=1, pre=42, next=124}
55 - Note{key=124, value=86, times=2, pre=58, next=88}
56 - Note{key=88, value=251, times=0, pre=124, next=74}
57 - Note{key=74, value=313, times=3, pre=88, next=14}
58 - Note{key=14, value=118, times=3, pre=74, next=77}
59 - Note{key=77, value=184, times=2, pre=14, next=49}
60 - Note{key=49, value=89, times=2, pre=77, next=11}
61 - Note{key=11, value=47, times=3, pre=49, next=120}
62 - Note{key=120, value=203, times=2, pre=11, next=104}
63 - Note{key=104, value=225, times=2, pre=120, next=10}
64 - Note{key=10, value=21, times=3, pre=104, next=82}
65 - Note{key=82, value=145, times=2, pre=10, next=24}
66 - Note{key=24, value=209, times=1, pre=82, next=96}
67 - Note{key=96, value=4, times=3, pre=24, next=84}
68 - Note{key=84, value=276, times=1, pre=96, next=8}
69 - Note{key=8, value=15, times=2, pre=84, next=115}
70 - Note{key=115, value=164, times=0, pre=8, next=86}
71 - Note{key=86, value=21, times=0, pre=115, next=78}
72 - Note{key=78, value=157, times=2, pre=86, next=131}
73 - Note{key=131, value=177, times=3, pre=78, next=114}
74 - Note{key=114, value=121, times=1, pre=131, next=3}
75 - Note{key=3, value=109, times=6, pre=114, next=94}
76 - Note{key=94, value=111, times=1, pre=3, next=43}
77 - Note{key=43, value=311, times=2, pre=94, next=79}
78 - Note{key=79, value=135, times=2, pre=43, next=7}
79 - Note{key=7, value=141, times=2, pre=79, next=91}
80 - Note{key=91, value=32, times=0, pre=7, next=105}
81 - Note{key=105, value=253, times=4, pre=91, next=126}
82 - Note{key=126, value=12, times=2, pre=105, next=59}
83 - Note{key=59, value=306, times=3, pre=126, next=111}
84 - Note{key=111, value=122, times=0, pre=59, next=28}
85 - Note{key=28, value=220, times=1, pre=111, next=12}
86 - Note{key=12, value=252, times=1, pre=28, next=125}
87 - Note{key=125, value=111, times=0, pre=12, next=32}
88 - Note{key=32, value=153, times=0, pre=125, next=113}
89 - Note{key=113, value=1, times=2, pre=32, next=117}
90 - Note{key=117, value=207, times=2, pre=113, next=21}
91 - Note{key=21, value=216, times=0, pre=117, next=108}
92 - Note{key=108, value=287, times=1, pre=21, next=102}
93 - Note{key=102, value=147, times=4, pre=108, next=100}
